,Company,Level,Years of Experience,City,Total Compensation,Salary,Germany
213,Affinidi,S3,6  yrs,"Berlin, BE, Germany ","5,8 χιλ. | N/A | 583,3",5.8,Germany
214,Google,L4,9  yrs,"Munich, BY, Germany ","8,7 χιλ. | 6,5 χιλ. | 1,7 χιλ.",8.7,Germany
215,Zalando,C6,7  yrs,"Berlin, BE, Germany ","7,1 χιλ. | N/A | N/A",7.1,Germany
216,ProSiebenSat.1,Senior,6  yrs,"Munich, BY, Germany ","6,8 χιλ. | N/A | N/A",6.8,Germany
217,Circus Group,Senior,8  yrs,"Hamburg, HH, Germany ","6,7 χιλ. | N/A | N/A",6.7,Germany
218,Zalando,C7,11  yrs,"Berlin, BE, Germany ","7,5 χιλ. | N/A | N/A",7.5,Germany
219,Nrw Bank,L3,5  yrs,"Cologne, NW, Germany ","6,2 χιλ. | N/A | N/A",6.2,Germany
220,Klarna,L3,9  yrs,"Berlin, BE, Germany ","6,9 χιλ. | N/A | N/A",6.9,Germany
221,Delivery Hero,IC3,9  yrs,"Berlin, BE, Germany ","8,2 χιλ. | 1,5 χιλ. | N/A",8.2,Germany
222,Agentic AI,L3,8  yrs,"Berlin, BE, Germany ","5 χιλ. | 833,3 | N/A",5,Germany
223,Volkswagen Infota...,Senior,5-10  yrs,"Bochum, NW, Germany ","6,3 χιλ. | N/A | 666,7",6.3,Germany
224,Rohde & Schwarz,L1,0  yrs,"Memmingen, BY, Germany ","4,5 χιλ. | N/A | N/A",4.5,Germany
225,Technical Univers...,hidden,5-10  yrs,"Munich, BY, Germany ","4,7 χιλ. | N/A | N/A",4.7,Germany
226,Zalando,C7,15  yrs,"Berlin, BE, Germany ","9,2 χιλ. | N/A | N/A",9.2,Germany
227,Bosch Global,EG16,12  yrs,"Stuttgart, BW, Germany ","8 χιλ. | 1,3 χιλ. | N/A",8,Germany
228,Trade Republic,Software Engineer II,5  yrs,"Berlin, BE, Germany ","7,7 χιλ. | N/A | N/A",7.7,Germany
229,N/A,hidden,2-4  yrs,"Berlin, BE, Germany ","3,7 χιλ. | N/A | N/A",3.7,Germany
230,Akkodis,L3,4  yrs,"Magdeburg, ST, Germany ","4,4 χιλ. | N/A | N/A",4.4,Germany
231,Digital Charging ...,IC4,8  yrs,"Berlin, BE, Germany ","7,8 χιλ. | N/A | N/A",7.8,Germany
232,N/A,hidden,5-10  yrs,"Borken, NW, Germany ","4,4 χιλ. | N/A | N/A",4.4,Germany
233,N/A,hidden,5-10  yrs,"Dusseldorf, NW, Germany ","1,7 χιλ. | N/A | N/A",1.7,Germany
234,CHECK24,Junior Software Engineer,0  yrs,"Munich, BY, Germany ","4,7 χιλ. | N/A | N/A",4.7,Germany
235,N/A,hidden,2-4  yrs,"Berlin, BE, Germany ","7,5 χιλ. | N/A | N/A",7.5,Germany
236,Invensity,Associate Consultant,0  yrs,"Stuttgart, BW, Germany ","4,6 χιλ. | N/A | 175",4.6,Germany
237,Allianz,Junior,2  yrs,"Munich, BY, Germany ","5 χιλ. | N/A | 416,7",5,Germany
238,Cloudrizon,Junior,1  yr,"Ulm, BW, Germany ","3,8 χιλ. | N/A | N/A",3.8,Germany
239,Getsafe,hidden,11+  yrs,"Berlin, BE, Germany ","7,5 χιλ. | N/A | N/A",7.5,Germany
240,AXA,L3,15  yrs,"Cologne, NW, Germany ","7,1 χιλ. | N/A | N/A",7.1,Germany
241,FNZ,Junior,0  yrs,"Frankfurt, HE, Germany ","4,5 χιλ. | N/A | N/A",4.5,Germany
242,Tools For Humanity,Lead,7  yrs,"Munich, BY, Germany ","13,1 χιλ. | N/A | N/A",13.1,Germany
243,JetBrains,L1,2  yrs,"Bremen, HB, Germany ","5,8 χιλ. | N/A | N/A",5.8,Germany
244,Monta,Senior,3  yrs,"Berlin, BE, Germany ",6 χιλ. | N/A | N/A,6,Germany
245,Amazon,SDE II,7  yrs,"Berlin, BE, Germany ","9,6 χιλ. | 5,8 χιλ. | N/A",9.6,Germany
246,Bosch Global,EG16,12  yrs,"Stuttgart, BW, Germany ",9 χιλ. | N/A | 250,9,Germany
247,Kleinanzeigen.de,L11,4  yrs,"Berlin, BE, Germany ","6 χιλ. | N/A | 583,3",6,Germany
248,Pyur | Tele Colum...,-,5  yrs,"Leipzig, SN, Germany ","4,6 χιλ. | N/A | 583,3",4.6,Germany
249,Büro Am Draht,-,2  yrs,"Berlin, BE, Germany ","5,5 χιλ. | N/A | N/A",5.5,Germany
250,Axel Springer SE,hidden,5-10  yrs,"Berlin, BE, Germany ","6,7 χιλ. | N/A | N/A",6.7,Germany
251,Amazon,SDE II,7  yrs,"Berlin, BE, Germany ","9,6 χιλ. | 5,8 χιλ. | N/A",9.6,Germany
252,SAP,T1,1  yr,"Berlin, BE, Germany ","4,9 χιλ. | N/A | 166,7",4.9,Germany
253,HelloFresh,Software Engineer,8  yrs,"Berlin, BE, Germany ","5,9 χιλ. | N/A | N/A",5.9,Germany
254,Jucr Gmbh,Senior,8  yrs,"Berlin, BE, Germany ","7,5 χιλ. | N/A | N/A",7.5,Germany
255,Eurogate,L3,6  yrs,"Hamburg, HH, Germany ",5 χιλ. | N/A | N/A,5,Germany
256,Delivery Hero,IC5,15  yrs,"Berlin, BE, Germany ","11,5 χιλ. | 5 χιλ. | N/A",11.5,Germany
257,Infotech,L3,7  yrs,"Berlin, BE, Germany ","7,3 χιλ. | N/A | N/A",7.3,Germany
258,Bundesverwaltungsamt,L2,5  yrs,"Bonn, NW, Germany ","5,2 χιλ. | N/A | N/A",5.2,Germany
259,N/A,-,5  yrs,"Berlin, BE, Germany ","4,8 χιλ. | N/A | N/A",4.8,Germany
260,Volkswagen,Senior,6  yrs,"Berlin, BE, Germany ","6,9 χιλ. | N/A | 583,3",6.9,Germany
261,DeepL,P4,6  yrs,"Cologne, NW, Germany ","9,7 χιλ. | N/A | N/A",9.7,Germany
262,Itemis,Junior,4  yrs,"Hamburg, HH, Germany ","5,4 χιλ. | N/A | N/A",5.4,Germany
263,Biontech Se,Engineer,8  yrs,"Mainz, RP, Germany ","7 χιλ. | 1,4 χιλ. | N/A",7,Germany
264,LeanIX,L2,2  yrs,"Berlin, BE, Germany ","5,4 χιλ. | N/A | 283,3",5.4,Germany
265,Zalando,C8,9  yrs,"Berlin, BE, Germany ","9,5 χιλ. | 904 | N/A",9.5,Germany
266,Leonardo DRS,L3,3  yrs,"Berlin, BE, Germany ","7,5 χιλ. | N/A | N/A",7.5,Germany
267,OTTO,Professional,2  yrs,"Hamburg, HH, Germany ",5 χιλ. | N/A | N/A,5,Germany
268,Mercedes-Benz,hidden,2-4  yrs,"Berlin, BE, Germany ","1,4 χιλ. | N/A | 120",1.4,Germany
269,QuantCo,hidden,2-4  yrs,"Berlin, BE, Germany ","8,3 χιλ. | 1,7 χιλ. | 4,2 χιλ.",8.3,Germany
270,BSH,L1,1  yr,"Regensburg, BY, Germany ","5,4 χιλ. | N/A | N/A",5.4,Germany
271,Snowflake,IC4,20  yrs,"Berlin, BE, Germany ","13,3 χιλ. | 8,3 χιλ. | N/A",13.3,Germany
272,Netlight,Consultant,7  yrs,"Munich, BY, Germany ","5,5 χιλ. | N/A | N/A",5.5,Germany
273,Zalando,C7,15  yrs,"Berlin, BE, Germany ","9,2 χιλ. | N/A | N/A",9.2,Germany
274,Tui,L3,11+  yrs,"Hannover, NI, Germany ","10,2 χιλ. | N/A | N/A",10.2,Germany
275,Porsche,I,4  yrs,"Stuttgart, BW, Germany ","9,2 χιλ. | N/A | N/A",9.2,Germany
276,Amazon,SDE II,2  yrs,"Berlin, BE, Germany ","7,4 χιλ. | 1,7 χιλ. | N/A",7.4,Germany
277,JetBrains,L2,12  yrs,"Berlin, BE, Germany ","8,8 χιλ. | N/A | N/A",8.8,Germany
278,Lucht Probst Asso...,Middle,5  yrs,"Leipzig, SN, Germany ","4,6 χιλ. | N/A | N/A",4.6,Germany
279,Deutsche Bahn Inf...,-,6  yrs,"Frankfurt, HE, Germany ","6,5 χιλ. | N/A | 981,2",6.5,Germany
280,Align Technology,L7,9  yrs,"Darmstadt, HE, Germany ","9,8 χιλ. | 1,3 χιλ. | 1,1 χιλ.",9.8,Germany
281,Enpal,Mid,4  yrs,"Berlin, BE, Germany ","5,8 χιλ. | N/A | N/A",5.8,Germany
282,N/A,-,6  yrs,"Aachen, NW, Germany ","6,8 χιλ. | N/A | N/A",6.8,Germany
283,Veeva Systems,Senior Software Engineer,11  yrs,"Frankfurt, HE, Germany ","9,6 χιλ. | 2,4 χιλ. | N/A",9.6,Germany
284,Inovex,hidden,5-10  yrs,"Munich, BY, Germany ","7,5 χιλ. | N/A | N/A",7.5,Germany
285,Teufel,L2,10  yrs,"Berlin, BE, Germany ",6 χιλ. | N/A | N/A,6,Germany
286,N/A,hidden,5-10  yrs,"Berlin, BE, Germany ",6 χιλ. | N/A | N/A,6,Germany
287,N/A,hidden,2-4  yrs,"Hamburg, HH, Germany ","7,1 χιλ. | N/A | N/A",7.1,Germany
288,adesso,Senior Software Engineer,6  yrs,"Berlin, BE, Germany ","5,2 χιλ. | N/A | N/A",5.2,Germany
289,Intel,Grade 7,8  yrs,"Munich, BY, Germany ","8,1 χιλ. | 1,3 χιλ. | N/A",8.1,Germany
290,Tomorrow,Senior Software Engineer,10  yrs,"Hamburg, HH, Germany ","6,3 χιλ. | N/A | N/A",6.3,Germany
291,Adacor,-,3  yrs,"Offenbach, HE, Germany ","5,4 χιλ. | N/A | N/A",5.4,Germany
292,Deutsche Borse,Senior,5  yrs,"Frankfurt, HE, Germany ","7,6 χιλ. | N/A | 1,5 χιλ.",7.6,Germany
293,Coremedia,Senior,4  yrs,"Hamburg, HH, Germany ","5,7 χιλ. | N/A | N/A",5.7,Germany
294,Tum,Student,5  yrs,"Munich, BY, Germany ","3,3 χιλ. | N/A | N/A",3.3,Germany
295,Drager,Software Engineer,1  yr,"Lubeck, SH, Germany ","6,2 χιλ. | N/A | N/A",6.2,Germany
296,adesso,Working Student,0  yrs,"Berlin, BE, Germany ","2,8 χιλ. | N/A | N/A",2.8,Germany
297,Cloudflare,L3,10  yrs,"Munich, BY, Germany ","10 χιλ. | 3,3 χιλ. | N/A",10,Germany
298,Everest Systems,hidden,5-10  yrs,"Heidelberg, BW, Germany ","5,8 χιλ. | N/A | N/A",5.8,Germany
299,N26,L5,7  yrs,"Berlin, BE, Germany ",10 χιλ. | N/A | N/A,10,Germany
300,Idealo,L3,6  yrs,"Berlin, BE, Germany ","5,8 χιλ. | N/A | N/A",5.8,Germany
301,Zalando,C8,13  yrs,"Berlin, BE, Germany ","9,6 χιλ. | 2,1 χιλ. | N/A",9.6,Germany
302,Cloudflare,L3,15  yrs,"Munich, BY, Germany ","10 χιλ. | 3,3 χιλ. | N/A",10,Germany
303,Inovex,-,3  yrs,"Cologne, NW, Germany ","5,3 χιλ. | N/A | N/A",5.3,Germany
304,Qonto,L3,6  yrs,"Berlin, BE, Germany ","6,5 χιλ. | N/A | N/A",6.5,Germany
305,Deutsche Borse,L1,0  yrs,"Frankfurt, HE, Germany ","4,6 χιλ. | N/A | 718,7",4.6,Germany
306,L21s,-,4  yrs,"Berlin, BE, Germany ",6 χιλ. | N/A | N/A,6,Germany
307,N/A,hidden,2-4  yrs,"Cologne, NW, Germany ","3,7 χιλ. | N/A | N/A",3.7,Germany
308,Abchd,L3,5  yrs,"Berlin, BE, Germany ","5,8 χιλ. | N/A | N/A",5.8,Germany
309,Deutsche Bank,Associate,2  yrs,"Berlin, BE, Germany ","5,8 χιλ. | N/A | 833,3",5.8,Germany
310,Safety Io,-,3  yrs,"Berlin, BE, Germany ","5,3 χιλ. | N/A | N/A",5.3,Germany
311,Raisenow,Senior,23  yrs,"Berlin, BE, Germany ","8,3 χιλ. | N/A | N/A",8.3,Germany
312,Align Technology,L6,9  yrs,"Darmstadt, HE, Germany ","8,3 χιλ. | 2,5 χιλ. | 666,7",8.3,Germany
313,Lightspeed Commerce,II,5  yrs,"Berlin, BE, Germany ","6,7 χιλ. | 416,7 | N/A",6.7,Germany
314,Bridgestone,Mid,5  yrs,"Leipzig, SN, Germany ",5 χιλ. | N/A | N/A,5,Germany
315,Getsafe,L3,10  yrs,"Berlin, BE, Germany ","8,1 χιλ. | N/A | N/A",8.1,Germany
316,Celonis,IC2,2  yrs,"Munich, BY, Germany ","6,2 χιλ. | 1,3 χιλ. | 750",6.2,Germany
317,Delivery Hero,IC2,7  yrs,"Berlin, BE, Germany ","6,9 χιλ. | 675 | N/A",6.9,Germany
318,N26,L3,5  yrs,"Berlin, BE, Germany ","5,8 χιλ. | N/A | N/A",5.8,Germany
319,CHECK24,L1,2  yrs,"Munich, BY, Germany ","3,1 χιλ. | N/A | N/A",3.1,Germany
320,NIO,L6,11  yrs,"Berlin, BE, Germany ","10 χιλ. | 1,7 χιλ. | N/A",10,Germany
321,Deutsche Bank,-,3  yrs,"Frankfurt, HE, Germany ","6,2 χιλ. | N/A | 833,3",6.2,Germany
322,Dassault Systèmes,200,3  yrs,"Munich, BY, Germany ",5 χιλ. | N/A | N/A,5,Germany
323,Deutsche Bank,AVP,5  yrs,"Berlin, BE, Germany ","6,5 χιλ. | N/A | N/A",6.5,Germany
324,Delivery Hero,IC1,2  yrs,"Berlin, BE, Germany ","5,6 χιλ. | N/A | N/A",5.6,Germany
325,Bliq,hidden,5-10  yrs,"Berlin, BE, Germany ","6,7 χιλ. | N/A | N/A",6.7,Germany
326,Wolt,L4,6  yrs,"Berlin, BE, Germany ","7,5 χιλ. | 3,8 χιλ. | N/A",7.5,Germany
327,N/A,hidden,11+  yrs,"Stuttgart, BW, Germany ","5,8 χιλ. | N/A | N/A",5.8,Germany
328,Cariad,Senior Software Engineer,10  yrs,"Berlin, BE, Germany ","8,2 χιλ. | N/A | N/A",8.2,Germany
329,Mediaire,Junior Software Engineer,1  yr,"Aalen, BW, Germany ","3,3 χιλ. | N/A | 100",3.3,Germany
330,Delivery Hero,IC3,14  yrs,"Berlin, BE, Germany ","8,2 χιλ. | 1,7 χιλ. | N/A",8.2,Germany
331,Mars Agency,L4,10  yrs,"Frankfurt, HE, Germany ","7,1 χιλ. | N/A | N/A",7.1,Germany
332,CHECK24,Lead Software Engineer,14  yrs,"Munich, BY, Germany ","8,3 χιλ. | N/A | 833,3",8.3,Germany
333,Engel Und Völkers...,-,23  yrs,"Berlin, BE, Germany ",6 χιλ. | N/A | N/A,6,Germany
334,Delivery Hero,IC3,14  yrs,"Berlin, BE, Germany ","8,2 χιλ. | 1,7 χιλ. | N/A",8.2,Germany
335,Amazon,SDE I,5  yrs,"Berlin, BE, Germany ","5,5 χιλ. | 833,3 | N/A",5.5,Germany
336,Wooga,Senior,7  yrs,"Berlin, BE, Germany ","8,3 χιλ. | N/A | N/A",8.3,Germany
337,SAP,T3,7  yrs,"Berlin, BE, Germany ","8,3 χιλ. | 833,3 | N/A",8.3,Germany
338,Zeiss Group,Software Engineer,4  yrs,"Munich, BY, Germany ","5,3 χιλ. | N/A | 333,3",5.3,Germany
339,Everest Systems,-,5  yrs,"Heidelberg, BW, Germany ","7,5 χιλ. | 520,8 | N/A",7.5,Germany
340,Bosch Global,SL4,3  yrs,"Berlin, BE, Germany ","6,3 χιλ. | N/A | N/A",6.3,Germany
341,Narda,Senior,20  yrs,"Stuttgart, BW, Germany ","8,3 χιλ. | N/A | N/A",8.3,Germany
342,Agilent Technologies,L1,2-4  yrs,"Karlsruhe, BW, Germany ","5,1 χιλ. | N/A | 255",5.1,Germany
343,SAP,T3,12  yrs,"Aachen, NW, Germany ","6,5 χιλ. | N/A | 342,1",6.5,Germany
344,Mediafellows Gmbh,-,17  yrs,"Berlin, BE, Germany ","7,8 χιλ. | N/A | N/A",7.8,Germany
345,Deutsche Bank,AVP,1  yr,"Berlin, BE, Germany ","7,2 χιλ. | N/A | 500",7.2,Germany
346,Wuerth Elektronik,Senior,8  yrs,"Berlin, BE, Germany ","5,8 χιλ. | N/A | N/A",5.8,Germany
347,Pet Media Group,-,11  yrs,"Berlin, BE, Germany ",7 χιλ. | N/A | N/A,7,Germany
348,Volkswagen,Software Engineer,10  yrs,"Braunschweig, NI, Germany ","6,6 χιλ. | N/A | N/A",6.6,Germany
349,Aldi,1,18  yrs,"Cologne, NW, Germany ","7,7 χιλ. | N/A | N/A",7.7,Germany
350,Integrity Next,L3,4  yrs,"Munich, BY, Germany ","5,8 χιλ. | N/A | N/A",5.8,Germany
351,Redcare Pharmacy,Senior,7  yrs,"Berlin, BE, Germany ","6,3 χιλ. | N/A | N/A",6.3,Germany
352,Digital Turbine,L3,5  yrs,"Berlin, BE, Germany ","6,7 χιλ. | 333,3 | 833,3",6.7,Germany
353,Amazon,SDE II,15  yrs,"Berlin, BE, Germany ","8,7 χιλ. | 4,2 χιλ. | N/A",8.7,Germany
354,Zalando,C6,8  yrs,"Berlin, BE, Germany ","7,1 χιλ. | N/A | N/A",7.1,Germany
355,Infineon Technolo...,Software Engineer,2  yrs,"Munich, BY, Germany ","1,6 χιλ. | N/A | N/A",1.6,Germany
356,Stabl,-,0  yrs,"Munich, BY, Germany ","4,6 χιλ. | N/A | N/A",4.6,Germany
357,UP42,L2,6  yrs,"Berlin, BE, Germany ","6,3 χιλ. | N/A | 833,3",6.3,Germany
358,Accenture,Senior Software Engineer,22  yrs,"Munich, BY, Germany ","7,4 χιλ. | N/A | N/A",7.4,Germany
359,N/A,-,5  yrs,"Karlsruhe, BW, Germany ","5,6 χιλ. | N/A | N/A",5.6,Germany
360,SoSafe,Mid Level,5  yrs,"Frankfurt, HE, Germany ","5,4 χιλ. | N/A | N/A",5.4,Germany
361,Amazon,SDE II,10  yrs,"Berlin, BE, Germany ","7,5 χιλ. | 2,1 χιλ. | N/A",7.5,Germany
362,Wolt,I5,6  yrs,"Berlin, BE, Germany ","7,5 χιλ. | 3,3 χιλ. | N/A",7.5,Germany
363,Delivery Hero,IC3,15  yrs,"Berlin, BE, Germany ","8 χιλ. | 1,5 χιλ. | N/A",8,Germany
364,ADS-TEC Energy,-,5  yrs,"Stuttgart, BW, Germany ","5,8 χιλ. | N/A | N/A",5.8,Germany
365,Amazon,SDE I,5  yrs,"Berlin, BE, Germany ","6,2 χιλ. | 1,7 χιλ. | N/A",6.2,Germany
366,Trawa,L3,5  yrs,"Berlin, BE, Germany ","6,3 χιλ. | N/A | N/A",6.3,Germany
367,E.solutions,Senior,3  yrs,"Ingolstadt, BY, Germany ","5,7 χιλ. | N/A | 333,3",5.7,Germany
368,Volkswagen,13,5  yrs,"Berlin, BE, Germany ","5,3 χιλ. | N/A | 833,3",5.3,Germany
369,Deutsche Bank,Associate,4  yrs,"Berlin, BE, Germany ",6 χιλ. | N/A | N/A,6,Germany
370,Mieterengel,L1,2  yrs,"Berlin, BE, Germany ","4,5 χιλ. | N/A | N/A",4.5,Germany
371,Zalando,C6,4  yrs,"Dortmund, NW, Germany ","5,8 χιλ. | N/A | N/A",5.8,Germany
372,ServiceNow,IC4,15  yrs,"Berlin, BE, Germany ","8,3 χιλ. | 5,8 χιλ. | 1,3 χιλ.",8.3,Germany
373,Just Eat,Senior,9  yrs,"Berlin, BE, Germany ","7,6 χιλ. | 583,3 | N/A",7.6,Germany
374,Commerzbank,L4,0  yrs,"Frankfurt, HE, Germany ","5,7 χιλ. | N/A | N/A",5.7,Germany
375,MBition,Senior,10  yrs,"Berlin, BE, Germany ","5,8 χιλ. | N/A | 833,3",5.8,Germany
376,N/A,hidden,5-10  yrs,"Berlin, BE, Germany ","5,4 χιλ. | N/A | N/A",5.4,Germany
377,N/A,hidden,11+  yrs,"Munich, BY, Germany ","6,5 χιλ. | N/A | N/A",6.5,Germany
378,N26,L5,25  yrs,"Berlin, BE, Germany ","9,7 χιλ. | N/A | N/A",9.7,Germany
379,Gedys,-,7  yrs,"Fulda, HE, Germany ","4,2 χιλ. | N/A | N/A",4.2,Germany
380,N/A,hidden,5-10  yrs,"Frankfurt, HE, Germany ","6,2 χιλ. | N/A | 125",6.2,Germany
381,Zooplus,L6,10  yrs,"Munich, BY, Germany ","5,8 χιλ. | N/A | 583,3",5.8,Germany
382,d-fine,Senior Consultant,3  yrs,"Berlin, BE, Germany ","7,4 χιλ. | N/A | 1 χιλ.",7.4,Germany
383,Abbelen,T2,7  yrs,"Krefeld, NW, Germany ","6,3 χιλ. | N/A | N/A",6.3,Germany
384,Luxoft,L4,18  yrs,"Stuttgart, BW, Germany ","7,1 χιλ. | N/A | N/A",7.1,Germany
385,Controlexpert,-,4  yrs,"Dusseldorf, NW, Germany ","5,4 χιλ. | N/A | N/A",5.4,Germany
386,Cloudflare,L1,10  yrs,"Berlin, BE, Germany ","8,3 χιλ. | 2,1 χιλ. | N/A",8.3,Germany
387,Hasso Plattner In...,-,7  yrs,"Potsdam, BB, Germany ",5 χιλ. | N/A | N/A,5,Germany
388,Managed İT,Working Student,2  yrs,"Hamburg, HH, Germany ","2,9 χιλ. | N/A | N/A",2.9,Germany
389,N/A,hidden,5-10  yrs,"Hamburg, HH, Germany ","5,7 χιλ. | N/A | N/A",5.7,Germany
390,adesso,Software Engineer,7  yrs,"Stuttgart, BW, Germany ","5,8 χιλ. | N/A | N/A",5.8,Germany
391,Rola Security Sol...,Junior,2  yrs,"Oberhausen, NW, Germany ","4,3 χιλ. | N/A | N/A",4.3,Germany
392,Zerog,Lead,7  yrs,"Frankfurt, HE, Germany ","6,8 χιλ. | N/A | 683,3",6.8,Germany
393,Siemens Healthineers,0,1  yr,"Erlangen, BY, Germany ","5,4 χιλ. | N/A | N/A",5.4,Germany
394,Tradebyte,C4,10  yrs,"Ansbach, BY, Germany ","5,2 χιλ. | N/A | N/A",5.2,Germany
395,adesso,Senior Software Engineer,10  yrs,"Dortmund, NW, Germany ","5,2 χιλ. | N/A | N/A",5.2,Germany
396,Zalando,C7,9  yrs,"Berlin, BE, Germany ","9,2 χιλ. | N/A | N/A",9.2,Germany
397,Deutsche Bank,AVP,3  yrs,"Berlin, BE, Germany ","6,7 χιλ. | N/A | 833,3",6.7,Germany
398,Genius Business S...,-,5  yrs,"Bochum, NW, Germany ","7,1 χιλ. | N/A | N/A",7.1,Germany
399,N/A,hidden,2-4  yrs,"Aachen, NW, Germany ","5,4 χιλ. | N/A | N/A",5.4,Germany
400,Amazon,SDE I,1  yr,"Berlin, BE, Germany ","6,3 χιλ. | 1 χιλ. | N/A",6.3,Germany
401,Airbus,Software Engineer I,4  yrs,"Munich, BY, Germany ","6,7 χιλ. | N/A | N/A",6.7,Germany
402,Mondu,L4,10  yrs,"Berlin, BE, Germany ","6,7 χιλ. | N/A | N/A",6.7,Germany
403,Researchgate,hidden,5-10  yrs,"Berlin, BE, Germany ","7,2 χιλ. | N/A | N/A",7.2,Germany
404,BMW Group,EG10Software Engineer I,0  yrs,"Munich, BY, Germany ","5,8 χιλ. | N/A | N/A",5.8,Germany
405,PwC,Entry,0  yrs,"Munich, BY, Germany ","4,5 χιλ. | N/A | N/A",4.5,Germany
406,Oracle,IC-4,11  yrs,"Berlin, BE, Germany ","7,1 χιλ. | N/A | N/A",7.1,Germany
407,N/A,hidden,5-10  yrs,"Berlin, BE, Germany ","5,8 χιλ. | N/A | N/A",5.8,Germany
408,SumUp,Senior Software Engineer,14  yrs,"Cologne, NW, Germany ","7,3 χιλ. | N/A | N/A",7.3,Germany
409,Amazon,SDE II,6  yrs,"Berlin, BE, Germany ","8 χιλ. | 1,7 χιλ. | N/A",8,Germany
410,Konux,Senior,7  yrs,"Munich, BY, Germany ","10 χιλ. | 833,3 | N/A",10,Germany
411,Carglass,L11,6  yrs,"Cologne, NW, Germany ","6,7 χιλ. | N/A | 500",6.7,Germany
412,Wave Mobile Money,L4,15  yrs,"Karlsruhe, BW, Germany ",11 χιλ. | N/A | N/A,11,Germany
413,Procuros,Senior,17  yrs,"Hamburg, HH, Germany ","7,5 χιλ. | N/A | N/A",7.5,Germany
414,DB Systel,TG7,7  yrs,"Erfurt, TH, Germany ","6,8 χιλ. | N/A | 625",6.8,Germany
415,Zertificon Solutions,Principal,17  yrs,"Berlin, BE, Germany ",6 χιλ. | N/A | N/A,6,Germany
416,Google,L5,25  yrs,"Munich, BY, Germany ","10,2 χιλ. | 6,7 χιλ. | 1,9 χιλ.",10.2,Germany
417,ProSiebenSat.1,hidden,11+  yrs,"Munich, BY, Germany ","7,5 χιλ. | N/A | 583,3",7.5,Germany
418,iteratec,-,4  yrs,"Munich, BY, Germany ",5 χιλ. | N/A | N/A,5,Germany
419,Zalando,C8,17  yrs,"Dortmund, NW, Germany ",10 χιλ. | 750 | N/A,10,Germany
420,Visable Labs,L3,13  yrs,"Berlin, BE, Germany ","6,7 χιλ. | N/A | N/A",6.7,Germany
421,N/A,hidden,5-10  yrs,"Berlin, BE, Germany ","6,7 χιλ. | 833,3 | N/A",6.7,Germany
422,N/A,hidden,2-4  yrs,"Cottbus, BB, Germany ","5,2 χιλ. | N/A | 108,3",5.2,Germany
423,Primion Technology,L2,3  yrs,"Stuttgart, BW, Germany ","4,6 χιλ. | N/A | N/A",4.6,Germany
424,ThoughtWorks,Senior Consultant,8  yrs,"Munich, BY, Germany ","6,8 χιλ. | N/A | 333,3",6.8,Germany
425,Bolt (EU),L4,9  yrs,"Berlin, BE, Germany ","8 χιλ. | 1,7 χιλ. | N/A",8,Germany
426,N/A,hidden,5-10  yrs,"Berlin, BE, Germany ","7,5 χιλ. | N/A | N/A",7.5,Germany
